date,year,n1,n2,n3,n4,n5,n6,div1_prize,div1_winners,url
8/4/2003,2003,6,11,13,24,40,47,0,0,https://lottery.hk/en/mark-six/results/2003-04-08
10/4/2003,2003,7,11,13,23,31,33,"1,519,175",5,https://lottery.hk/en/mark-six/results/2003-04-10
15/4/2003,2003,9,15,27,28,37,39,"15,371,670",2,https://lottery.hk/en/mark-six/results/2003-04-15
17/4/2003,2003,12,18,26,34,38,45,0,0,https://lottery.hk/en/mark-six/results/2003-04-17
22/4/2003,2003,7,14,26,27,31,36,0,0,https://lottery.hk/en/mark-six/results/2003-04-22
24/4/2003,2003,11,14,17,20,42,47,0,0,https://lottery.hk/en/mark-six/results/2003-04-24
29/4/2003,2003,19,30,37,41,47,49,0,0,https://lottery.hk/en/mark-six/results/2003-04-29
2/5/2003,2003,3,8,10,19,31,35,"18,573,370",2,https://lottery.hk/en/mark-six/results/2003-05-02
6/5/2003,2003,7,19,30,34,37,44,"5,489,670",1,https://lottery.hk/en/mark-six/results/2003-05-06
9/5/2003,2003,11,20,23,29,32,33,0,0,https://lottery.hk/en/mark-six/results/2003-05-09
13/5/2003,2003,9,17,20,29,34,35,0,0,https://lottery.hk/en/mark-six/results/2003-05-13
15/5/2003,2003,8,29,31,32,36,38,0,0,https://lottery.hk/en/mark-six/results/2003-05-15
20/5/2003,2003,6,28,39,40,43,45,"24,901,925",1,https://lottery.hk/en/mark-six/results/2003-05-20
22/5/2003,2003,8,14,17,23,28,43,"5,000,000",1,https://lottery.hk/en/mark-six/results/2003-05-22
27/5/2003,2003,1,27,28,29,31,49,"2,500,000",2,https://lottery.hk/en/mark-six/results/2003-05-27
29/5/2003,2003,13,16,19,31,39,47,0,0,https://lottery.hk/en/mark-six/results/2003-05-29
3/6/2003,2003,2,12,21,37,47,49,"58,188,295",1,https://lottery.hk/en/mark-six/results/2003-06-03
5/6/2003,2003,9,27,30,33,44,48,0,0,https://lottery.hk/en/mark-six/results/2003-06-05
10/6/2003,2003,10,19,26,30,32,44,"10,876,635",1,https://lottery.hk/en/mark-six/results/2003-06-10
12/6/2003,2003,3,14,27,31,38,44,0,0,https://lottery.hk/en/mark-six/results/2003-06-12
17/6/2003,2003,3,11,18,22,24,37,0,0,https://lottery.hk/en/mark-six/results/2003-06-17
19/6/2003,2003,3,4,10,24,26,47,0,0,https://lottery.hk/en/mark-six/results/2003-06-19
24/6/2003,2003,2,10,21,22,37,44,0,0,https://lottery.hk/en/mark-six/results/2003-06-24
26/6/2003,2003,7,9,26,29,37,40,"41,611,480",1,https://lottery.hk/en/mark-six/results/2003-06-26
30/6/2003,2003,14,16,18,32,44,47,0,0,https://lottery.hk/en/mark-six/results/2003-06-30
3/7/2003,2003,5,6,12,20,39,47,0,0,https://lottery.hk/en/mark-six/results/2003-07-03
